name,subject_codes,year_codes
"Valorizar e utilizar os conhecimentos historicamente construídos sobre o mundo físico, social, cultural e digital para entender e explicar a realidade, continuar aprendendo e colaborar para a construção de uma sociedade justa, democrática e inclusiva.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
"Exercitar a curiosidade intelectual e recorrer à abordagem própria das ciências, incluindo a investigação, a reflexão, a análise crítica, a imaginação e a criatividade, para investigar causas, elaborar e testar hipóteses, formular e resolver problemas e criar soluções (inclusive tecnológicas) com base nos conhecimentos das diferentes áreas.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
"Valorizar e fruir as diversas manifestações artísticas e culturais, das locais às mundiais, e também participar de práticas diversificadas da produção artístico-cultural.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
"Utilizar diferentes linguagens – verbal (oral ou visual-motora, como Libras, e escrita), corporal, visual, sonora e digital –, bem como conhecimentos das linguagens artística, matemática e científica, para se expressar e partilhar informações, experiências, ideias e sentimentos em diferentes contextos e produzir sentidos que levem ao entendimento mútuo.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
"Compreender, utilizar e criar tecnologias digitais de informação e comunicação de forma crítica, significativa, reflexiva e ética nas diversas práticas sociais (incluindo as escolares) para se comunicar, acessar e disseminar informações, produzir conhecimentos, resolver problemas e exercer protagonismo e autoria na vida pessoal e coletiva.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
"Valorizar a diversidade de saberes e vivências culturais e apropriar-se de conhecimentos e experiências que lhe possibilitem entender as relações próprias do mundo do trabalho e fazer escolhas alinhadas ao exercício da cidadania e ao seu projeto de vida, com liberdade, autonomia, consciência crítica e responsabilidade.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
"Argumentar com base em fatos, dados e informações confiáveis, para formular, negociar e defender ideias, pontos de vista e decisões comuns que respeitem e promovam os direitos humanos, a consciência socioambiental e o consumo responsável em âmbito local, regional e global, com posicionamento ético em relação ao cuidado de si mesmo, dos outros e do planeta.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
"Conhecer-se, apreciar-se e cuidar de sua saúde física e emocional, compreendendo-se na diversidade humana e reconhecendo suas emoções e as dos outros, com autocrítica e capacidade para lidar com elas.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
"Exercitar a empatia, o diálogo, a resolução de conflitos e a cooperação,fazendo-se respeitar e promovendo o respeito ao outro e aos direitos humanos, com acolhimento e valorização da diversidade de indivíduos e de grupos sociais, seus saberes, identidades, culturas e potencialidades, sem preconceitos de qualquer natureza.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
"Agir pessoal e coletivamente com autonomia, responsabilidade, flexibilidade, resiliência e determinação, tomando decisões com base em princípios éticos, democráticos, inclusivos, sustentáveis e solidários.",,"k0, k1, k2, k3, k4, k5, g1, g2, g3, g4, g5, g6, g7, g8, g9, g10, g11, g12"
