campos de atuação,práticas de linguagem,eixos,unidades temáticas,objetos de conhecimento,habilidades,códigos,subject codes,year codes
Todos os campos de atuação,Leitura/escuta (compartilhada e autônoma),,,Protocolos de leitura,Reconhecer que textos são lidos e escritos da esquerda para a direita e de cima para baixo da página.,EF01LP01,port,g1
Todos os campos de atuação,Escrita (compartilhada e autônoma),,,Correspondência fonema-grafema,"Escrever, espontaneamente ou por ditado, palavras e frases de forma alfabética – usando letras/grafemas que representem fonemas.",EF01LP02,port,g1
Todos os campos de atuação,Escrita (compartilhada e autônoma),,,Construção do sistema alfabético/ Convenções da escrita,"Observar escritas convencionais, comparando-as às suas produções escritas, percebendo semelhanças e diferenças.",EF01LP03,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Conhecimento do alfabeto do português do Brasil,Distinguir as letras do alfabeto de outros sinais gráficos.,EF01LP04,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético,Reconhecer o sistema de escrita alfabética como representação dos sons da fala.,EF01LP05,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético e da ortografia,Segmentar oralmente palavras em sílabas.,EF01LP06,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético e da ortografia,Identificar fonemas e sua representação por letras.,EF01LP07,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético e da ortografia,"Relacionar elementos sonoros (sílabas, fonemas, partes de palavras) com sua representação escrita.",EF01LP08,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Construção do sistema alfabético e da ortografia,"Comparar palavras, identificando semelhanças e diferenças entre sons de sílabas iniciais.",EF01LP09,port,g1
Todos os campos de atuação,Análise linguística/semiótica (Alfabetização),,,Conhecimento do alfabeto do português do Brasil,Nomear as letras do alfabeto e recitá-lo na ordem das letras.,EF01LP10,port,g1
