campos de atuação,práticas de linguagem,eixos,unidades temáticas,objetos de conhecimento,habilidades,códigos,subject codes,year codes
Campo jornalístico/midiático,Leitura,,,"Reconstrução do contexto de produção, circulação e recepção de textos
Caracterização do campo jornalístico e relação entre os gêneros em circulação, mídias e práticas da cultura digital","Reconhecer a impossibilidade de uma neutralidade absoluta no relato de fatos e identificar diferentes graus de parcialidade/ imparcialidade dados pelo recorte feito e pelos efeitos de sentido advindos de escolhas feitas pelo autor, de forma a poder desenvolver uma atitude crítica frente aos textos jornalísticos e tornar-se consciente das escolhas feitas enquanto produtor de textos.",EF06LP01,port,g6
Campo jornalístico/midiático,Leitura,,,"Reconstrução do contexto de produção, circulação e recepção de textos
Caracterização do campo jornalístico e relação entre os gêneros em circulação, mídias e práticas da cultura digital","Estabelecer relação entre os diferentes gêneros jornalísticos, compreendendo a centralidade da notícia.",EF06LP02,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Léxico/morfologia,Analisar diferenças de sentido entre palavras de uma série sinonímica.,EF06LP03,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Morfossintaxe,"Analisar a função e as flexões de substantivos e adjetivos e de verbos nos modos Indicativo, Subjuntivo e Imperativo: afirmativo e negativo.",EF06LP04,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Morfossintaxe,"Identificar os efeitos de sentido dos modos verbais, considerando o gênero textual e a intenção comunicativa.",EF06LP05,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Morfossintaxe,"Empregar, adequadamente, as regras de concordância nominal (relações entre os substantivos e seus determinantes) e as regras de concordância verbal (relações entre o verbo e o sujeito simples e composto).",EF06LP06,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Morfossintaxe,"Identificar, em textos, períodos compostos por orações separadas por vírgula sem a utilização de conectivos, nomeando-os como períodos compostos por coordenação.",EF06LP07,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Morfossintaxe,"Identificar, em texto ou sequência textual, orações como unidades constituídas em torno de um núcleo verbal e períodos como conjunto de orações conectadas.",EF06LP08,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Morfossintaxe,"Classificar, em texto ou sequência textual, os períodos simples compostos.",EF06LP09,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Sintaxe,Identificar sintagmas nominais e verbais como constituintes imediatos da oração.,EF06LP10,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Elementos notacionais da escrita/morfossintaxe,"Utilizar, ao produzir texto, conhecimentos linguísticos e gramaticais: tempos verbais, concordância nominal e verbal, regras ortográficas, pontuação etc.",EF06LP11,port,g6
Todos os campos de atuação,Análise linguística/semiótica,,,Semântica Coesão,"Utilizar, ao produzir texto, recursos de coesão referencial (nome e pronomes), recursos semânticos de sinonímia, antonímia e homonímia e mecanismos de representação de diferentes vozes (discurso direto e indireto).",EF06LP12,port,g6
Campo jornalístico/midiático,Leitura,,,"Reconstrução do contexto de produção, circulação e recepção de textos
Caracterização do campo jornalístico e relação entre os gêneros em circulação, mídias e práticas da cultura digital",Analisar a estrutura e funcionamento dos hiperlinks em textos noticiosos publicados na Web e vislumbrar possibilidades de uma escrita hipertextual.,EF67LP01,port,"g6, g7"
Campo jornalístico/midiático,Leitura,,,Apreciação e réplica,"Explorar o espaço reservado ao leitor nos jornais, revistas, impressos e on-line, sites noticiosos etc., destacando notícias, fotorreportagens, entrevistas, charges, assuntos, temas, debates em foco, posicionando-se de maneira ética e respeitosa frente a esses textos e opiniões a eles relacionadas, e publicar notícias, notas jornalísticas, fotorreportagem de interesse geral nesses espaços do leitor.",EF67LP02,port,"g6, g7"
Campo jornalístico/midiático,Leitura,,,Relação entre textos,"Comparar informações sobre um mesmo fato divulgadas em diferentes veículos e mídias, analisando e avaliando a confiabilidade.",EF67LP03,port,"g6, g7"
Campo jornalístico/midiático,Leitura,,,Estratégia de leitura Distinção de fato e opinião,"Distinguir, em segmentos descontínuos de textos, fato da opinião enunciada em relação a esse mesmo fato.",EF67LP04,port,"g6, g7"
Campo jornalístico/midiático,Leitura,,,"Estratégia de leitura: identificação de teses e argumentos
Apreciação e réplica","Identificar e avaliar teses/opiniões/posicionamentos explícitos e argumentos em textos argumentativos (carta de leitor, comentário, artigo de opinião, resenha crítica etc.), manifestando concordância ou discordância.",EF67LP05,port,"g6, g7"
Campo jornalístico/midiático,Leitura,,,Efeitos de sentido,"Identificar os efeitos de sentido provocados pela seleção lexical, topicalização de elementos e seleção e hierarquização de informações, uso de 3ª pessoa etc.",EF67LP06,port,"g6, g7"
Campo jornalístico/midiático,Leitura,,,Efeitos de sentido,"Identificar o uso de recursos persuasivos em textos argumentativos diversos (como a elaboração do título, escolhas lexicais, construções metafóricas, a explicitação ou a ocultação de fontes de informação) e perceber seus efeitos de sentido.",EF67LP07,port,"g6, g7"
Campo jornalístico/midiático,Leitura,,,Efeitos de sentido Exploração da multissemiose,"Identificar os efeitos de sentido devidos à escolha de imagens estáticas, sequenciação ou sobreposição de imagens, definição de figura/fundo, ângulo, profundidade e foco, cores/tonalidades, relação com o escrito (relações de reiteração, complementação ou oposição) etc. em notícias, reportagens, fotorreportagens, foto-denúncias, memes, gifs, anúncios publicitários e propagandas publicados em jornais, revistas, sites na internet etc.",EF67LP08,port,"g6, g7"
Campo jornalístico/midiático,Produção de textos,,,Estratégias de produção: planejamento de textos informativos,"Planejar notícia impressa e para circulação em outras mídias (rádio ou TV/vídeo), tendo em vista as condições de produção, do texto – objetivo, leitores/espectadores, veículos e mídia de circulação etc. –, a partir da escolha do fato a ser noticiado (de relevância para a turma, escola ou comunidade), do levantamento de dados e informações sobre o fato – que pode envolver entrevistas com envolvidos ou com especialistas, consultas a fontes, análise de documentos, cobertura de eventos etc.–, do registro dessas informações e dados, da escolha de fotos ou imagens a produzir ou a utilizar etc. e a previsão de uma estrutura hipertextual (no caso de publicação em sites ou blogs noticiosos).",EF67LP09,port,"g6, g7"
Campo jornalístico/midiático,Produção de textos,,,"Textualização, tendo em vista suas condições de produção, as características do gênero em questão, o estabelecimento de coesão,
adequação à norma-padrão e o uso adequado de ferramentas de edição","Produzir notícia impressa tendo em vista características do gênero – título ou manchete com verbo no tempo presente, linha fina (opcional), lide, progressão dada pela ordem decrescente de importância dos fatos, uso de 3ª pessoa, de palavras que indicam precisão –, e o estabelecimento adequado de coesão e produzir notícia para TV, rádio e internet, tendo em vista, além das características do gênero, os recursos de mídias disponíveis e o manejo de recursos de captação e edição de áudio e imagem.",EF67LP10,port,"g6, g7"
Campo jornalístico/midiático,Produção de textos,,,Estratégias de produção: planejamento de textos argumentativos e apreciativos,"Planejar resenhas, vlogs, vídeos e podcasts variados, e textos e vídeos de apresentação e apreciação próprios das culturas juvenis (algumas possibilidades: fanzines, fanclipes, e-zines, gameplay, detonado etc.), dentre outros, tendo em vista as condições de produção do texto – objetivo, leitores/espectadores, veículos e mídia de circulação etc. –, a partir da escolha de uma produção ou evento cultural para analisar – livro, filme, série, game, canção, videoclipe, fanclipe, show, saraus, slams etc. – da busca de informação sobre a produção ou evento escolhido, da síntese de informações sobre a obra/evento e do elenco/seleção de aspectos, elementos ou recursos que possam ser destacados positiva ou negativamente ou da roteirização do passo a passo do game para posterior gravação dos vídeos.",EF67LP11,port,"g6, g7"
Campo jornalístico/midiático,Produção de textos,,,Textualização de textos argumentativos e apreciativos,"Produzir resenhas críticas, vlogs, vídeos, podcasts variados e produções e gêneros próprios das culturas juvenis (algumas possibilidades: fanzines, fanclipes, e-zines, gameplay, detonado etc.), que apresentem/descrevam e/ou avaliem produções culturais (livro, filme, série, game, canção, disco, videoclipe etc.) ou evento (show, sarau, slam etc.), tendo em vista o contexto de produção dado, as características do gênero, os recursos das mídias envolvidas e a textualização adequada dos textos e/ou produções.",EF67LP12,port,"g6, g7"
Campo jornalístico/midiático,Produção de textos,,,Produção e edição de textos publicitários,"Produzir, revisar e editar textos publicitários, levando em conta o contexto de produção dado, explorando recursos multissemióticos, relacionando elementos verbais e visuais, utilizando adequadamente estratégias discursivas de persuasão e/ou convencimento e criando título ou slogan que façam o leitor motivar-se a interagir com o texto produzido e se sinta atraído pelo serviço, ideia ou produto em questão.",EF67LP13,port,"g6, g7"
